index_main,token,rtt,rssi
1,6,142187,-79
1,7,153125,-80
1,8,146875,-79
1,9,142187,-80
1,10,143750,-79
1,11,148437,-80
1,12,145313,-79
1,13,145312,-79
1,14,146875,-79
1,15,143750,-79
1,16,146875,-80
1,17,157813,-79
1,18,145312,-80
1,19,145313,-79
1,20,156250,-79
2,6,145312,-76
2,7,151563,-81
2,8,150000,-81
2,9,153125,-81
2,10,153125,-82
2,11,151563,-81
2,12,154688,-82
2,13,153125,-81
2,14,154688,-82
2,15,151562,-78
2,16,148438,-79
2,17,150000,-79
2,18,146875,-78
2,19,151563,-78
2,20,148437,-78
3,6,157813,-80
3,7,148438,-80
3,8,145313,-80
3,9,162500,-79
3,10,148438,-80
3,11,148437,-80
3,12,148438,-80
3,13,145313,-80
3,14,148437,-79
3,15,142188,-81
3,16,157813,-80
3,17,142187,-81
3,18,146875,-81
3,19,145313,-81
3,20,142187,-81
4,6,162500,-80
4,7,154688,-80
4,8,159375,-81
4,9,157813,-81
4,10,154687,-81
4,11,154687,-81
4,12,153125,-81
4,13,156250,-81
4,14,154687,-81
4,15,150000,-80
4,17,151563,-80
4,18,150000,-81
4,19,150000,-81
4,20,162500,-81
5,6,157812,-83
5,7,146875,-83
5,8,164063,-83
5,9,153125,-83
5,10,150000,-83
5,11,153125,-83
5,12,154687,-82
5,13,153125,-83
5,14,153125,-83
5,15,153125,-81
5,16,160938,-81
5,17,156250,-82
5,18,154688,-81
5,19,162500,-82
5,20,164062,-81
6,6,153125,-79
6,7,153125,-81
6,8,156250,-81
6,9,154688,-81
6,10,154688,-81
6,11,153125,-81
6,12,157813,-81
6,13,154687,-81
6,14,168750,-81
6,15,151562,-83
6,16,162500,-83
6,17,157812,-83
6,18,143750,-83
6,19,157813,-83
6,20,143750,-83
7,6,156250,-82
7,7,156250,-81
7,8,154687,-80
7,9,170312,-80
7,10,153125,-81
7,11,150000,-80
7,12,156250,-81
7,13,156250,-81
7,14,160938,-81
7,15,157813,-81
7,16,154688,-81
7,17,151563,-81
7,18,156250,-81
7,19,156250,-81
7,20,154687,-81
8,6,154688,-77
8,7,154687,-78
8,8,150000,-79
8,9,154687,-79
8,10,165625,-78
8,11,153125,-78
8,12,156250,-79
8,13,153125,-78
8,14,150000,-79
8,15,154687,-79
8,16,153125,-79
8,17,151562,-79
8,18,167188,-79
8,19,154687,-79
8,20,154688,-78
9,8,173438,-84
9,9,164062,-85
9,10,164063,-85
9,11,167188,-85
9,12,160938,-84
9,13,160937,-85
9,15,151562,-83
9,16,164063,-82
9,17,151563,-82
9,18,157812,-82
9,19,156250,-82
9,20,154688,-82
10,6,132812,-81
10,7,157812,-83
10,8,151563,-82
10,9,167188,-82
10,10,153125,-82
10,11,160938,-82
10,12,159375,-82
10,13,159375,-82
10,14,157812,-82
10,15,150000,-82
10,16,150000,-82
10,17,150000,-82
10,18,146875,-82
10,19,156250,-82
10,20,145312,-82
11,6,146875,-82
11,7,150000,-80
11,8,148437,-80
11,9,150000,-80
11,10,159375,-80
11,11,146875,-80
11,12,160937,-81
11,13,151563,-80
11,14,154688,-81
11,15,151563,-82
11,16,167188,-81
11,17,148437,-82
11,18,150000,-82
11,19,150000,-82
11,20,150000,-82
12,6,168750,-82
12,7,151563,-81
12,8,151562,-81
12,9,153125,-81
12,10,153125,-81
12,11,156250,-81
12,12,154688,-81
